Controller,HTTP,Route,Service,Tables,Tables Count,FE Pages (menu paths)
AdvertiseController,GET,/api/advertise/ads/list,AdService.GetListAsync,_had,1,廣告版位露出
AdvertiseController,POST,/api/advertise/ads,AdService.CreateAsync,"_had, _hoplog",2,廣告版位露出
AdvertiseController,PUT,/api/advertise/ads/{adid},AdService.UpdateAsync,"_had, _hoplog",2,廣告版位露出
AdvertiseController,PUT,/api/advertise/ads/{adid}/logo,AdService.UpdateLogoAsync,_had,1,
AdvertiseController,DELETE,/api/advertise/ads/{adid},AdService.DeleteAsync,"_had, _hoplog",2,廣告版位露出
AgentsController,GET,/api/agents/list,AgentService.GetListAsync,agent_form,1,
AgentsController,DELETE,/api/agents/{agentId},AgentService.DeleteAsync,agent_form,1,
AgentsController,GET,/api/agents/{agentId}/files,AgentService.GetFilesAsync,agent_files,1,
AgentsController,DELETE,/api/agents/{agentId}/files/{fileId},AgentService.DeleteFileAsync,agent_files,1,
AuthController,POST,/api/auth/login,AuthService.LoginAsync,admin,1,
AwardsController,GET,/api/awards/hawards/list,HawardService.GetListAsync,"_hawards, _hcase, _hdesigner",3,亞洲設計獎 › 獎項
AwardsController,GET,/api/awards/hawards/{id},HawardService.GetByIdAsync,"_hawards, _hcase, _hdesigner",3,
AwardsController,POST,/api/awards/hawards,HawardService.CreateAsync,"_hawards, _hcase, _hdesigner, _hoplog",4,亞洲設計獎 › 獎項
AwardsController,PUT,/api/awards/hawards/{id},HawardService.UpdateAsync,"_hawards, _hcase, _hdesigner, _hoplog",4,亞洲設計獎 › 獎項
AwardsController,DELETE,/api/awards/hawards/{id},HawardService.DeleteAsync,"_hawards, _hoplog",2,亞洲設計獎 › 獎項
AwardsController,GET,/api/awards/hprizes/list,HprizeService.GetListAsync,_hprize,1,
AwardsController,GET,/api/awards/hprizes/{id},HprizeService.GetByIdAsync,_hprize,1,
AwardsController,POST,/api/awards/hprizes,HprizeService.CreateAsync,"_hoplog, _hprize",2,
AwardsController,PUT,/api/awards/hprizes/{id},HprizeService.UpdateAsync,"_hoplog, _hprize",2,
AwardsController,DELETE,/api/awards/hprizes/{id},HprizeService.DeleteAsync,"_hoplog, _hprize",2,
AwardsController,GET,/api/awards/hcontests/list,HcontestService.GetListAsync,_hcontest,1,亞洲設計獎 › 競圖
AwardsController,GET,/api/awards/hcontests/{id},HcontestService.GetByIdAsync,_hcontest,1,亞洲設計獎 › 競圖
AwardsController,POST,/api/awards/hcontests,HcontestService.CreateAsync,"_hcontest, _hoplog",2,亞洲設計獎 › 競圖
AwardsController,PUT,/api/awards/hcontests/{id},HcontestService.UpdateAsync,"_hcontest, _hoplog",2,亞洲設計獎 › 競圖
AwardsController,DELETE,/api/awards/hcontests/{id},HcontestService.DeleteAsync,"_hcontest, _hoplog",2,亞洲設計獎 › 競圖
BrokersController,GET,/api/brokers/agents/list,AgentService.GetListAsync,agent_form,1,經紀人 › 案件列表
