DB,Table,Parent Menu,Page Name,Page Path
Xoops (legacy _),_hdesigner,亞洲設計獎,獎項,src/pages/asia-design-awards/awards/index.tsx
Xoops (legacy _),_hdesigner,編輯採訪部,個案資訊,src/pages/editorial/cases/index.tsx
Xoops (legacy _),_hdesigner,編輯採訪部,設計師資訊,src/pages/editorial/designers/index.tsx
Xoops (legacy _),_hdesigner,行銷企劃部,設計師列表,src/pages/marketing/designers/index.tsx
Xoops (legacy _),_hdesigner,影音企劃部,影音資訊,src/pages/video/info/index.tsx
Xoops (legacy _),_hdesigner,網站設計部,首頁元素,src/pages/web-design/index-innerset/index.tsx
Xoops (legacy _),_hcase,亞洲設計獎,獎項,src/pages/asia-design-awards/awards/index.tsx
Xoops (legacy _),_hcase,編輯採訪部,個案資訊,src/pages/editorial/cases/index.tsx
Xoops (legacy _),_hcase,行銷企劃部,個案分享設定,src/pages/marketing/case-seo/index.tsx
Xoops (legacy _),_hcase,影音企劃部,影音資訊,src/pages/video/info/index.tsx
Xoops (legacy _),_hcase,網站設計部,首頁元素,src/pages/web-design/index-innerset/index.tsx
Xoops (legacy _),_hoplog,,廣告版位露出,src/pages/ads/index.tsx
Xoops (legacy _),_hoplog,亞洲設計獎,獎項,src/pages/asia-design-awards/awards/index.tsx
Xoops (legacy _),_hoplog,亞洲設計獎,競圖,src/pages/asia-design-awards/contests/index.tsx
Xoops (legacy _),_hoplog,站內收單管理,輕裝修需求單,src/pages/orders/light-deco/index.tsx
Xoops (legacy _),_hcolumn,客戶開發處,建商列表,src/pages/customer/builders/index.tsx
Xoops (legacy _),_hcolumn,編輯採訪部,專欄類別查詢快調,src/pages/editorial/column-subtypes/index.tsx
Xoops (legacy _),_hcolumn,編輯採訪部,專欄文章,src/pages/editorial/columns/index.tsx
Xoops (legacy _),_hcolumn,行銷企劃部,專欄分享設定,src/pages/marketing/column-seo/index.tsx
Xoops (legacy _),_hcolumn,影音企劃部,影音資訊,src/pages/video/info/index.tsx
Xoops (legacy _),_hcolumn,網站設計部,首頁元素,src/pages/web-design/index-innerset/index.tsx
Xoops (new),builder_product,客戶開發處,建商列表,src/pages/customer/builders/index.tsx
Xoops (legacy _),_hvideo,客戶開發處,建商列表,src/pages/customer/builders/index.tsx
Xoops (legacy _),_hvideo,影音企劃部,影音資訊,src/pages/video/info/index.tsx
Xoops (legacy _),_hvideo,網站設計部,首頁元素,src/pages/web-design/index-innerset/index.tsx
Xoops (legacy _),_hproduct,行銷企劃部,產品分享設定,src/pages/marketing/product-seo/index.tsx
Xoops (legacy _),_hproduct,網站設計部,首頁元素,src/pages/web-design/index-innerset/index.tsx
Xoops (legacy _),_users,行銷企劃部,討論區黑名單,src/pages/marketing/forum-block/index.tsx
Xoops (legacy _),_users,行銷企劃部,討論區發文管理,src/pages/marketing/forum/index.tsx
Xoops (legacy _),_users,後台系統管理,會員管理,src/pages/system/members/index.tsx
Xoops (new),builder,客戶開發處,建商列表,src/pages/customer/builders/index.tsx
Xoops (new),youtube_list,影音企劃部,節目表群組列表,src/pages/video/program-group-list/index.tsx
Xoops (new),youtube_list,影音企劃部,節目表影片維護,src/pages/video/program-video/index.tsx
Xoops (new),youtube_list,影音企劃部,Youtube 維護,src/pages/video/youtube/index.tsx
Xoops (new),admin,,(無對應頁面),
Xoops (new),agent_form,經紀人,新增案件,src/pages/agent/create/index.tsx
Xoops (new),agent_form,經紀人,案件列表,src/pages/agent/list/index.tsx
Xoops (new),deco_request,站內收單管理,輕裝修需求單,src/pages/orders/light-deco/index.tsx
Xoops (legacy _),_had,,廣告版位露出,src/pages/ads/index.tsx
Xoops (legacy _),_had,網站設計部,首頁元素,src/pages/web-design/index-innerset/index.tsx
Xoops (new),youtube_group,影音企劃部,節目表群組資訊,src/pages/video/program-group-info/index.tsx
Xoops (new),youtube_group,影音企劃部,節目表群組列表,src/pages/video/program-group-list/index.tsx
Xoops (new),youtube_group,影音企劃部,節目表影片維護,src/pages/video/program-video/index.tsx
Xoops (legacy _),_hawards,亞洲設計獎,獎項,src/pages/asia-design-awards/awards/index.tsx
Xoops (legacy _),_hcontest,亞洲設計獎,競圖,src/pages/asia-design-awards/contests/index.tsx
Xoops (legacy _),_hprize,,(無對應頁面),
